Date,SKU,Product Name,Category,Units Sold,Unit Cost,Unit Price,Inventory On Hand,Revenue,COGS,Gross Margin %,Discount,Net Profit
2025-12-23,SKU-PAN-047,Eggs 12ct,Pantry,9,3.17,4.80,28,43.17,28.53,33.92,2.21,12.43
2025-07-08,SKU-PRD-066,Eggs 12ct,Produce,10,5.08,7.08,188,70.80,50.79,28.27,4.78,15.24
2025-01-31,SKU-BEV-008,Frozen Pizza,Beverages,4,13.40,25.18,45,100.73,53.60,46.79,14.18,32.94
2025-04-03,SKU-DRY-093,Soda 12oz 6pk,Dairy,23,7.92,14.06,137,323.42,182.19,43.67,9.40,131.83
2025-03-12,SKU-BEV-075,Whole Milk 1gal,Beverages,24,10.97,15.02,217,360.42,263.20,26.97,51.38,45.84
2025-08-31,SKU-HOU-067,Greek Yogurt 4pk,Household,16,8.34,12.16,17,194.55,133.46,31.40,19.59,41.49
2025-03-11,SKU-PAN-019,Apples (3lb bag),Pantry,13,4.40,5.75,108,74.80,57.15,23.60,12.46,5.20
2025-11-02,SKU-SNK-111,Olive Oil 1L,Snacks,27,4.30,7.79,2,210.35,115.98,44.86,29.32,65.05
2025-02-21,SKU-PAN-048,Greek Yogurt 4pk,Pantry,18,12.38,21.85,218,393.37,222.86,43.35,46.30,124.21
2025-05-14,SKU-FRZ-008,Olive Oil 1L,Frozen,12,16.41,30.16,14,361.96,196.90,45.60,21.29,143.77
2025-01-08,SKU-MET-043,Pasta 16oz,Meat,17,6.24,12.46,98,211.82,106.10,49.91,34.35,71.37
2025-04-15,SKU-FRZ-064,Pasta 16oz,Frozen,1,16.86,20.31,85,20.31,16.86,17.00,1.81,1.64
2025-06-11,SKU-BAK-011,Olive Oil 1L,Bakery,16,1.53,1.88,85,30.02,24.54,18.24,1.72,3.76
2025-11-02,SKU-PAN-043,Greek Yogurt 4pk,Pantry,1,15.64,29.89,2,29.89,15.64,47.68,1.14,13.12
2025-11-20,SKU-SEA-046,Olive Oil 1L,Seafood,16,16.22,27.44,172,439.00,259.52,40.88,21.31,158.18
2025-04-13,SKU-BEV-073,Paper Towels 6ct,Beverages,7,4.86,9.05,82,63.32,34.04,46.23,9.59,19.69
2025-10-10,SKU-DRY-037,Whole Milk 1gal,Dairy,23,6.27,10.39,122,238.98,144.21,39.66,37.49,57.29
2025-05-11,SKU-PAN-016,Pasta 16oz,Pantry,23,2.37,3.00,126,68.97,54.52,20.95,6.79,7.66
2025-10-03,SKU-PAN-073,Orange Juice 1L,Pantry,24,8.69,12.74,172,305.82,208.55,31.81,40.38,56.90
2025-08-14,SKU-BAK-105,Potato Chips 8oz,Bakery,21,4.50,7.97,177,167.47,94.46,43.59,21.75,51.25
2025-04-29,SKU-MET-108,Frozen Pizza,Meat,16,17.19,32.27,70,516.33,275.09,46.72,40.30,200.94
2025-05-12,SKU-BAK-077,Ground Beef 1lb,Bakery,30,5.55,7.01,49,210.25,166.42,20.85,15.05,28.78
2025-09-02,SKU-PRD-003,Dish Soap 24oz,Produce,24,16.78,28.61,150,686.57,402.77,41.34,0.47,283.33
2025-07-29,SKU-FRZ-087,Potato Chips 8oz,Frozen,4,7.87,11.85,41,47.39,31.49,33.54,0.51,15.38
2025-08-22,SKU-FRZ-108,Eggs 12ct,Frozen,7,14.68,21.77,143,152.36,102.76,32.56,1.56,48.05
2025-06-09,SKU-BAK-003,Eggs 12ct,Bakery,9,8.48,15.16,165,136.45,76.31,44.07,13.42,46.71
2025-04-25,SKU-PAN-043,Olive Oil 1L,Pantry,12,11.03,19.39,26,232.72,132.41,43.10,16.55,83.76
2025-05-27,SKU-FRZ-059,Rice 5lb,Frozen,18,5.69,10.93,215,196.75,102.46,47.92,9.01,85.27
2025-10-30,SKU-MET-032,Apples (3lb bag),Meat,24,16.94,34.31,96,823.47,406.60,50.62,102.75,314.12
2025-07-08,SKU-BEV-064,Rice 5lb,Beverages,16,5.50,9.25,161,148.06,87.94,40.60,16.43,43.69
2025-12-21,SKU-FRZ-079,Frozen Pizza,Frozen,11,13.87,22.36,115,246.01,152.57,37.98,19.89,73.55
2025-03-28,SKU-HOU-059,Paper Towels 6ct,Household,15,4.23,5.89,163,88.34,63.38,28.26,12.17,12.80
2025-03-01,SKU-MET-061,Ground Beef 1lb,Meat,11,10.10,18.92,144,208.09,111.13,46.59,5.31,91.65
2025-12-12,SKU-MET-037,Pasta 16oz,Meat,13,13.96,18.54,36,240.99,181.45,24.71,31.25,28.29
2025-01-25,SKU-BEV-047,Paper Towels 6ct,Beverages,3,14.55,25.69,179,77.07,43.64,43.38,0.19,33.24
2025-10-08,SKU-PRD-064,Salmon Fillet (lb),Produce,18,2.13,2.98,67,53.65,38.31,28.59,2.54,12.80
2025-10-31,SKU-FRZ-058,Frozen Pizza,Frozen,11,9.07,17.01,128,187.13,99.72,46.71,18.91,68.50
2025-11-25,SKU-DRY-028,Paper Towels 6ct,Dairy,4,17.95,22.06,205,88.26,71.78,18.67,11.52,4.95
2025-08-09,SKU-HOU-086,Salmon Fillet (lb),Household,20,7.31,11.08,12,221.59,146.20,34.02,37.51,37.89
2025-06-15,SKU-SNK-037,Eggs 12ct,Snacks,2,7.85,10.78,14,21.56,15.70,27.15,0.06,5.79
2025-02-17,SKU-BAK-078,Apples (3lb bag),Bakery,23,6.19,10.50,204,241.44,142.29,41.06,23.40,75.75
2025-01-30,SKU-DRY-051,Whole Milk 1gal,Dairy,16,12.44,20.90,154,334.36,199.11,40.45,37.77,97.48
2025-07-02,SKU-MET-102,Chicken Breast (lb),Meat,8,7.33,14.18,31,113.48,58.65,48.32,0.67,54.16
2025-05-17,SKU-HOU-068,Granola Bars 12ct,Household,30,2.11,2.59,57,77.69,63.32,18.51,6.99,7.39
2025-03-27,SKU-PAN-041,Rice 5lb,Pantry,4,8.26,11.55,208,46.20,33.03,28.51,4.16,9.01
2025-04-25,SKU-PAN-021,Granola Bars 12ct,Pantry,17,9.88,15.60,167,265.22,168.02,36.65,0.62,96.57
2025-07-09,SKU-BEV-023,Orange Juice 1L,Beverages,26,8.74,13.31,43,346.08,227.29,34.33,38.01,80.78
2025-05-30,SKU-SEA-068,Sourdough Bread,Seafood,20,11.47,21.19,183,423.83,229.37,45.88,65.33,129.13
2025-07-22,SKU-SEA-108,Olive Oil 1L,Seafood,27,7.86,10.63,92,287.11,212.18,26.10,10.81,64.12
2025-01-02,SKU-BAK-075,Pasta 16oz,Bakery,23,7.32,12.91,176,296.98,168.44,43.28,13.44,115.10
2025-09-14,SKU-FRZ-014,Potato Chips 8oz,Frozen,19,11.39,17.46,144,331.79,216.41,34.78,3.49,111.89
2025-08-13,SKU-FRZ-089,Orange Juice 1L,Frozen,29,6.77,13.81,165,400.49,196.32,50.98,55.69,148.48
2025-03-26,SKU-HOU-097,Potato Chips 8oz,Household,3,2.63,4.74,118,14.22,7.88,44.57,0.34,6.00
2025-10-07,SKU-PAN-044,Frozen Pizza,Pantry,12,14.01,25.27,1,303.22,168.12,44.55,16.68,118.41
2025-10-14,SKU-MET-090,Dish Soap 24oz,Meat,6,16.63,30.74,63,184.45,99.78,45.90,1.11,83.56
2025-11-03,SKU-BAK-012,Whole Milk 1gal,Bakery,22,2.49,4.19,213,92.15,54.84,40.49,12.13,25.18
2025-02-16,SKU-BAK-089,Bananas (lb),Bakery,26,14.60,24.88,55,646.88,379.67,41.31,10.36,256.84
2025-04-08,SKU-SNK-007,Bananas (lb),Snacks,6,7.25,10.06,196,60.38,43.50,27.95,6.27,10.60
2025-07-07,SKU-SNK-079,Greek Yogurt 4pk,Snacks,25,5.77,9.70,71,242.55,144.16,40.56,7.07,91.31
2025-07-24,SKU-DRY-033,Bananas (lb),Dairy,8,12.14,19.15,126,153.19,97.08,36.63,18.12,37.99
2025-01-28,SKU-BAK-022,Orange Juice 1L,Bakery,28,12.98,17.01,192,476.27,363.53,23.67,61.80,50.95
2025-01-21,SKU-SEA-015,Laundry Detergent 64oz,Seafood,2,13.49,20.80,152,41.61,26.98,35.14,4.59,10.04
2025-04-09,SKU-SNK-008,Bananas (lb),Snacks,23,14.73,28.22,137,649.11,338.75,47.81,21.95,288.41
2025-11-29,SKU-PAN-108,Sourdough Bread,Pantry,21,9.50,13.57,118,284.87,199.52,29.96,28.63,56.72
2025-10-24,SKU-PAN-034,Salmon Fillet (lb),Pantry,15,6.53,9.63,179,144.52,97.99,32.20,22.32,24.21
2025-09-29,SKU-PAN-091,Greek Yogurt 4pk,Pantry,10,8.60,14.98,5,149.77,86.03,42.56,20.47,43.27
2025-11-26,SKU-FRZ-048,Paper Towels 6ct,Frozen,15,5.29,8.72,37,130.80,79.35,39.33,17.61,33.84
2025-10-06,SKU-BEV-072,Laundry Detergent 64oz,Beverages,3,15.93,29.31,151,87.93,47.80,45.64,0.37,39.76
2025-10-14,SKU-HOU-039,Whole Milk 1gal,Household,25,9.14,11.18,132,279.44,228.47,18.24,16.89,34.08
2025-07-25,SKU-MET-073,Eggs 12ct,Meat,22,11.27,21.49,104,472.78,247.95,47.56,39.96,184.87
2025-08-06,SKU-HOU-100,Salmon Fillet (lb),Household,30,9.42,13.58,87,407.39,282.62,30.63,25.62,99.15
2025-05-28,SKU-PAN-091,Soda 12oz 6pk,Pantry,15,6.88,8.76,193,131.44,103.24,21.46,9.88,18.33
2025-07-27,SKU-FRZ-073,Greek Yogurt 4pk,Frozen,17,11.20,20.97,50,356.50,190.37,46.60,30.37,135.76
2025-05-22,SKU-DRY-102,Sourdough Bread,Dairy,14,3.95,7.61,114,106.58,55.32,48.09,15.61,35.65
2025-05-21,SKU-FRZ-112,Salmon Fillet (lb),Frozen,8,9.51,12.40,147,99.20,76.06,23.33,0.19,22.95
2025-01-01,SKU-MET-026,Potato Chips 8oz,Meat,15,17.99,22.11,212,331.69,269.87,18.64,57.25,4.57
2025-09-10,SKU-SEA-003,Frozen Pizza,Seafood,6,1.15,1.79,49,10.74,6.88,35.98,1.53,2.34
2025-06-07,SKU-FRZ-034,Potato Chips 8oz,Frozen,11,7.89,15.01,133,165.09,86.81,47.42,19.98,58.31
2025-09-15,SKU-DRY-073,Ground Beef 1lb,Dairy,16,13.91,25.82,23,413.11,222.61,46.11,8.57,181.93
2025-01-02,SKU-BEV-087,Chicken Breast (lb),Beverages,6,1.17,2.06,153,12.35,7.02,43.13,1.05,4.28
2025-03-12,SKU-SNK-066,Dish Soap 24oz,Snacks,5,11.06,19.15,149,95.73,55.28,42.26,17.08,23.37
2025-08-16,SKU-BAK-048,Olive Oil 1L,Bakery,5,10.46,17.36,135,86.79,52.32,39.72,2.41,32.06
2025-01-06,SKU-SEA-091,Granola Bars 12ct,Seafood,2,4.32,7.58,69,15.16,8.64,43.02,2.24,4.29
2025-11-22,SKU-PAN-094,Chicken Breast (lb),Pantry,4,3.11,4.88,103,19.51,12.43,36.28,1.53,5.54
2025-10-27,SKU-BAK-057,Frozen Pizza,Bakery,1,14.49,18.91,124,18.91,14.49,23.37,0.69,3.73
2025-10-23,SKU-SEA-102,Laundry Detergent 64oz,Seafood,14,4.07,7.56,4,105.89,57.05,46.13,2.59,46.26
2025-09-04,SKU-DRY-079,Orange Juice 1L,Dairy,1,11.74,15.69,198,15.69,11.74,25.17,2.57,1.38
2025-03-05,SKU-PRD-112,Ground Beef 1lb,Produce,27,10.21,13.58,146,366.56,275.57,24.82,17.73,73.26
2025-12-14,SKU-PRD-031,Orange Juice 1L,Produce,10,3.00,4.82,168,48.17,29.97,37.77,1.66,16.53
2025-02-20,SKU-BEV-048,Eggs 12ct,Beverages,29,17.76,36.32,168,1053.30,515.02,51.10,15.84,522.44
2025-09-04,SKU-DRY-112,Dish Soap 24oz,Dairy,27,11.47,17.84,142,481.69,309.59,35.73,45.17,126.93
2025-04-29,SKU-SNK-065,Rice 5lb,Snacks,6,1.19,1.48,128,8.91,7.15,19.75,1.57,0.19
2025-01-04,SKU-HOU-073,Sourdough Bread,Household,5,4.75,9.70,167,48.52,23.77,51.02,7.79,16.96
2025-07-04,SKU-PAN-099,Pasta 16oz,Pantry,21,2.97,5.58,212,117.18,62.39,46.76,14.57,40.22
2025-06-24,SKU-MET-040,Ground Beef 1lb,Meat,1,3.06,5.87,148,5.87,3.06,47.82,0.13,2.68
2025-05-30,SKU-FRZ-002,Dish Soap 24oz,Frozen,2,5.94,9.66,198,19.31,11.87,38.52,3.30,4.14
2025-12-02,SKU-MET-113,Eggs 12ct,Meat,5,11.92,18.96,123,94.79,59.58,37.15,3.06,32.16
2025-07-01,SKU-SEA-052,Potato Chips 8oz,Seafood,15,14.54,28.02,174,420.26,218.05,48.12,40.03,162.18
2025-12-25,SKU-PRD-078,Olive Oil 1L,Produce,4,8.23,14.39,168,57.56,32.92,42.80,2.65,21.99
2025-03-20,SKU-MET-033,Pasta 16oz,Meat,8,7.19,10.87,38,86.97,57.50,33.88,2.99,26.48
2025-11-17,SKU-BEV-037,Chicken Breast (lb),Beverages,3,8.59,13.75,10,41.24,25.78,37.50,1.90,13.57
2025-07-11,SKU-PAN-052,Laundry Detergent 64oz,Pantry,2,15.85,30.55,124,61.10,31.70,48.11,2.65,26.75
2025-05-07,SKU-MET-105,Ground Beef 1lb,Meat,12,6.84,10.29,80,123.48,82.07,33.53,9.77,31.63
2025-03-05,SKU-SNK-052,Potato Chips 8oz,Snacks,27,14.85,22.48,211,606.83,401.03,33.91,17.08,188.72
2025-05-13,SKU-BAK-007,Eggs 12ct,Bakery,22,9.54,12.79,87,281.47,209.94,25.42,48.44,23.10
2025-03-05,SKU-BEV-025,Olive Oil 1L,Beverages,24,2.97,4.88,212,117.17,71.27,39.18,15.41,30.49
2025-12-11,SKU-BEV-004,Pasta 16oz,Beverages,28,12.92,16.12,162,451.30,361.71,19.85,51.07,38.52
2025-11-27,SKU-SNK-111,Eggs 12ct,Snacks,7,8.55,13.39,0,93.74,59.85,36.15,0.17,33.71
2025-02-18,SKU-DRY-109,Laundry Detergent 64oz,Dairy,8,17.47,33.53,30,268.26,139.77,47.90,19.22,109.27
2025-12-02,SKU-FRZ-037,Rice 5lb,Frozen,3,5.24,10.39,209,31.17,15.73,49.55,0.15,15.30
2025-02-14,SKU-BAK-075,Olive Oil 1L,Bakery,17,6.61,9.00,63,152.92,112.30,26.56,6.04,34.59
2025-02-06,SKU-DRY-109,Eggs 12ct,Dairy,27,7.85,11.53,51,311.35,211.94,31.93,1.89,97.52
2025-05-12,SKU-BEV-028,Greek Yogurt 4pk,Beverages,7,1.89,3.43,18,24.02,13.26,44.80,2.49,8.27
2025-06-17,SKU-BEV-094,Whole Milk 1gal,Beverages,6,16.47,20.69,34,124.14,98.81,20.40,10.30,15.03
2025-01-10,SKU-SEA-019,Potato Chips 8oz,Seafood,21,2.79,5.65,132,118.75,58.49,50.74,19.00,41.26
2025-09-29,SKU-BAK-106,Rice 5lb,Bakery,7,1.44,2.24,118,15.68,10.07,35.75,0.31,5.29
2025-09-09,SKU-MET-010,Granola Bars 12ct,Meat,9,4.59,5.59,20,50.31,41.28,17.94,1.27,7.75
2025-10-04,SKU-MET-034,Orange Juice 1L,Meat,3,8.06,16.76,34,50.29,24.19,51.89,0.20,25.90
2025-09-21,SKU-BAK-039,Sourdough Bread,Bakery,20,17.42,28.89,16,577.71,348.34,39.70,11.02,218.36
2025-08-26,SKU-FRZ-081,Frozen Pizza,Frozen,14,9.16,17.92,153,250.93,128.21,48.90,3.91,118.81
2025-06-09,SKU-SEA-062,Soda 12oz 6pk,Seafood,19,4.29,8.04,187,152.83,81.50,46.67,25.74,45.59
2025-07-29,SKU-PAN-104,Olive Oil 1L,Pantry,29,2.18,3.76,31,108.94,63.11,42.07,2.75,43.08
2025-05-11,SKU-PRD-001,Apples (3lb bag),Produce,11,12.28,21.54,129,236.98,135.10,42.99,22.11,79.76
2025-03-24,SKU-DRY-008,Sourdough Bread,Dairy,11,6.79,13.93,203,153.20,74.67,51.26,15.62,62.91
2025-04-03,SKU-SNK-115,Eggs 12ct,Snacks,7,0.96,1.37,36,9.60,6.72,29.97,0.07,2.81
2025-08-18,SKU-PRD-081,Paper Towels 6ct,Produce,16,10.68,21.68,90,346.85,170.89,50.73,27.34,148.62
2025-08-09,SKU-DRY-011,Greek Yogurt 4pk,Dairy,8,16.88,34.15,85,273.17,135.02,50.57,26.90,111.25
2025-03-28,SKU-SEA-031,Bananas (lb),Seafood,29,12.30,21.24,37,615.93,356.70,42.09,72.75,186.48
2025-01-10,SKU-DRY-045,Orange Juice 1L,Dairy,10,13.30,17.64,26,176.38,132.98,24.61,18.79,24.61
2025-06-04,SKU-BAK-048,Rice 5lb,Bakery,27,6.31,10.89,197,294.09,170.34,42.08,32.41,91.34
2025-05-03,SKU-PRD-026,Granola Bars 12ct,Produce,18,9.98,20.49,144,368.91,179.66,51.30,36.99,152.26
2025-06-23,SKU-FRZ-038,Rice 5lb,Frozen,16,4.13,6.12,90,97.98,66.11,32.53,5.38,26.49
2025-12-25,SKU-DRY-091,Bananas (lb),Dairy,23,5.66,8.00,186,183.91,130.09,29.26,18.59,35.23
2025-01-24,SKU-PAN-102,Eggs 12ct,Pantry,22,3.33,6.95,55,153.01,73.33,52.08,7.80,71.88
2025-10-24,SKU-SEA-093,Orange Juice 1L,Seafood,9,11.92,20.16,155,181.40,107.24,40.88,27.45,46.71
2025-09-04,SKU-SNK-075,Rice 5lb,Snacks,26,7.31,13.31,96,346.18,189.95,45.13,5.77,150.45
2025-10-02,SKU-BAK-012,Chicken Breast (lb),Bakery,5,9.05,16.70,126,83.49,45.27,45.79,9.90,28.33
2025-06-02,SKU-BEV-095,Soda 12oz 6pk,Beverages,27,2.28,3.79,11,102.42,61.66,39.80,11.27,29.50
2025-12-01,SKU-MET-047,Dish Soap 24oz,Meat,16,15.71,31.98,188,511.66,251.31,50.88,36.47,223.88
2025-09-19,SKU-PAN-052,Frozen Pizza,Pantry,14,10.85,20.69,21,289.67,151.87,47.57,19.19,118.61
2025-09-25,SKU-BEV-104,Frozen Pizza,Beverages,22,6.83,12.98,59,285.60,150.15,47.43,7.00,128.45
2025-07-03,SKU-HOU-105,Pasta 16oz,Household,2,14.23,20.69,104,41.37,28.46,31.21,1.28,11.63
2025-12-04,SKU-BEV-119,Olive Oil 1L,Beverages,28,13.74,26.91,73,753.45,384.68,48.94,76.13,292.65
2025-12-09,SKU-BAK-048,Whole Milk 1gal,Bakery,6,4.74,6.53,180,39.17,28.41,27.46,4.13,6.63
2025-02-12,SKU-DRY-011,Greek Yogurt 4pk,Dairy,22,17.03,21.42,70,471.18,374.72,20.47,75.33,21.14
2025-02-05,SKU-PRD-011,Salmon Fillet (lb),Produce,23,5.66,6.95,91,159.74,130.09,18.56,21.71,7.93
2025-07-19,SKU-PAN-010,Rice 5lb,Pantry,3,1.12,1.66,58,4.99,3.36,32.68,0.12,1.51
2025-05-16,SKU-SNK-115,Orange Juice 1L,Snacks,13,16.65,31.56,178,410.23,216.41,47.25,35.44,158.38
2025-09-01,SKU-PAN-061,Rice 5lb,Pantry,28,13.58,24.67,13,690.63,380.29,44.94,3.65,306.69
2025-04-15,SKU-MET-090,Granola Bars 12ct,Meat,16,5.24,10.65,103,170.32,83.77,50.82,25.11,61.44
2025-04-11,SKU-PRD-102,Salmon Fillet (lb),Produce,28,6.47,9.00,200,252.03,181.26,28.08,1.56,69.21
2025-02-12,SKU-DRY-109,Greek Yogurt 4pk,Dairy,6,17.06,35.71,78,214.27,102.36,52.23,24.11,87.80
2025-08-10,SKU-BEV-046,Whole Milk 1gal,Beverages,16,11.91,19.49,173,311.81,190.61,38.87,16.14,105.06
2025-11-13,SKU-MET-086,Olive Oil 1L,Meat,23,2.42,5.03,50,115.64,55.65,51.87,11.53,48.45
2025-10-28,SKU-DRY-026,Ground Beef 1lb,Dairy,12,7.27,12.62,209,151.39,87.25,42.37,22.97,41.17
2025-04-20,SKU-PRD-067,Greek Yogurt 4pk,Produce,1,11.59,23.34,26,23.34,11.59,50.34,0.84,10.91
2025-06-24,SKU-BAK-036,Olive Oil 1L,Bakery,25,7.78,9.58,196,239.45,194.41,18.81,13.58,31.46
2025-04-05,SKU-PAN-067,Frozen Pizza,Pantry,29,6.83,11.39,89,330.44,198.00,40.08,6.00,126.43
2025-04-11,SKU-SEA-053,Laundry Detergent 64oz,Seafood,4,2.25,3.15,184,12.59,9.01,28.43,1.01,2.57
2025-05-04,SKU-SNK-029,Chicken Breast (lb),Snacks,26,4.10,5.77,12,150.14,106.70,28.93,23.21,20.23
2025-08-06,SKU-SEA-106,Olive Oil 1L,Seafood,8,13.13,20.24,168,161.94,105.08,35.11,1.97,54.89
2025-03-20,SKU-DRY-049,Dish Soap 24oz,Dairy,24,7.44,14.10,86,338.28,178.50,47.23,45.96,113.83
2025-03-24,SKU-SEA-017,Dish Soap 24oz,Seafood,14,9.02,11.26,38,157.66,126.30,19.89,9.90,21.46
2025-02-03,SKU-MET-087,Granola Bars 12ct,Meat,10,9.18,13.04,1,130.41,91.84,29.57,21.54,17.02
2025-10-29,SKU-SNK-022,Orange Juice 1L,Snacks,13,14.98,23.94,4,311.21,194.76,37.42,20.21,96.24
2025-03-04,SKU-BEV-035,Olive Oil 1L,Beverages,30,15.94,28.01,116,840.42,478.24,43.09,47.05,315.13
2025-12-08,SKU-BEV-065,Soda 12oz 6pk,Beverages,26,8.25,12.47,13,324.10,214.44,33.84,39.99,69.67
2025-01-27,SKU-SNK-031,Laundry Detergent 64oz,Snacks,10,7.38,13.75,144,137.52,73.78,46.35,24.01,39.74
2025-12-10,SKU-FRZ-070,Pasta 16oz,Frozen,15,17.57,28.32,189,424.84,263.52,37.97,35.16,126.17
2025-08-13,SKU-FRZ-079,Salmon Fillet (lb),Frozen,11,11.33,18.80,205,206.76,124.66,39.71,34.71,47.39
2025-09-04,SKU-BAK-072,Laundry Detergent 64oz,Bakery,23,13.82,17.59,86,404.58,317.81,21.45,45.15,41.63
2025-07-18,SKU-SNK-061,Apples (3lb bag),Snacks,29,11.88,20.27,160,587.73,344.62,41.36,101.97,141.14
2025-12-24,SKU-BEV-077,Frozen Pizza,Beverages,3,5.88,9.05,74,27.15,17.63,35.06,4.49,5.03
2025-05-03,SKU-BEV-044,Potato Chips 8oz,Beverages,23,4.27,8.85,36,203.54,98.29,51.71,0.12,105.14
2025-03-21,SKU-FRZ-112,Apples (3lb bag),Frozen,28,14.49,24.64,184,689.80,405.65,41.19,105.50,178.64
2025-05-13,SKU-HOU-054,Whole Milk 1gal,Household,4,2.29,3.87,193,15.49,9.18,40.78,0.24,6.08
2025-08-11,SKU-BEV-007,Dish Soap 24oz,Beverages,5,9.66,18.35,128,91.73,48.28,47.37,14.04,29.42
2025-12-17,SKU-SEA-037,Frozen Pizza,Seafood,6,7.18,13.72,172,82.34,43.07,47.70,11.78,27.49
2025-03-08,SKU-SEA-104,Pasta 16oz,Seafood,4,6.11,10.73,195,42.91,24.46,43.01,0.54,17.91
2025-12-20,SKU-FRZ-026,Paper Towels 6ct,Frozen,7,9.71,13.44,62,94.09,67.98,27.76,15.83,10.29
2025-12-19,SKU-MET-116,Soda 12oz 6pk,Meat,15,4.29,7.02,74,105.33,64.38,38.88,13.87,27.08
2025-01-25,SKU-MET-119,Pasta 16oz,Meat,9,0.89,1.56,102,14.03,8.05,42.63,1.76,4.22
2025-10-27,SKU-MET-072,Granola Bars 12ct,Meat,25,6.46,12.25,131,306.21,161.44,47.28,19.61,125.16
2025-09-30,SKU-BEV-035,Salmon Fillet (lb),Beverages,12,11.96,20.49,13,245.91,143.56,41.62,39.53,62.82
2025-04-20,SKU-BAK-070,Dish Soap 24oz,Bakery,25,9.97,12.52,20,313.10,249.28,20.38,4.39,59.42
2025-11-18,SKU-BAK-043,Rice 5lb,Bakery,24,9.21,12.71,152,305.13,221.08,27.54,42.37,41.68
2025-07-12,SKU-FRZ-051,Greek Yogurt 4pk,Frozen,21,9.87,20.03,108,420.63,207.20,50.74,53.33,160.10
2025-11-06,SKU-SEA-003,Greek Yogurt 4pk,Seafood,12,1.62,3.19,99,38.23,19.44,49.16,5.91,12.88
2025-10-04,SKU-PAN-075,Greek Yogurt 4pk,Pantry,20,1.85,3.11,32,62.16,36.96,40.54,3.91,21.29
2025-05-03,SKU-PAN-056,Apples (3lb bag),Pantry,2,14.14,28.24,47,56.48,28.28,49.93,4.21,23.99
2025-03-27,SKU-PAN-044,Sourdough Bread,Pantry,4,15.93,19.76,134,79.04,63.73,19.37,6.25,9.06
2025-06-26,SKU-DRY-009,Greek Yogurt 4pk,Dairy,28,1.65,2.57,90,71.85,46.18,35.72,4.46,21.20
2025-03-03,SKU-PRD-059,Orange Juice 1L,Produce,19,1.16,1.56,3,29.64,21.95,25.94,3.42,4.27
2025-01-15,SKU-SEA-052,Ground Beef 1lb,Seafood,21,5.34,10.86,128,228.13,112.12,50.85,32.40,83.61
2025-06-19,SKU-SEA-003,Whole Milk 1gal,Seafood,5,5.37,10.19,141,50.93,26.83,47.31,7.51,16.58
2025-07-07,SKU-HOU-041,Sourdough Bread,Household,27,10.62,18.34,181,495.06,286.84,42.06,76.60,131.61
2025-09-12,SKU-PRD-081,Apples (3lb bag),Produce,7,10.24,18.80,196,131.63,71.67,45.55,16.71,43.25
2025-04-20,SKU-DRY-094,Potato Chips 8oz,Dairy,18,4.86,8.34,137,150.07,87.56,41.65,15.76,46.75
