record_id,txn_date,fiscal_year,account,department,region,customer_name,revenue,cogs,gross_profit,net_income,cash_balance
61,2022-02-06,2022,1061,36,South,Customer 00061,7257,3403,3854,2195,105917
62,2023-03-07,2023,1062,37,East,Customer 00062,7294,3426,3868,2190,106014
63,2024-04-08,2024,1063,38,West,Customer 00063,7331,3449,3882,2185,106111
64,2025-05-09,2025,1064,39,North,Customer 00064,7368,3472,3896,2180,106208
65,2021-06-10,2021,1065,40,South,Customer 00065,7405,3495,3910,2175,106305
66,2022-07-11,2022,1066,41,East,Customer 00066,7442,3518,3924,2170,106402
67,2023-08-12,2023,1067,42,West,Customer 00067,7479,3541,3938,2165,106499
68,2024-09-13,2024,1068,43,North,Customer 00068,7516,3564,3952,2160,106596
69,2025-10-14,2025,1069,44,South,Customer 00069,7553,3587,3966,2155,106693
70,2021-11-15,2021,1070,10,East,Customer 00070,7590,3610,3980,2150,106790
71,2022-12-16,2022,1071,11,West,Customer 00071,7627,3633,3994,2145,106887
72,2023-01-17,2023,1072,12,North,Customer 00072,7664,3656,4008,2140,106984
73,2024-02-18,2024,1073,13,South,Customer 00073,7701,3679,4022,2135,107081
74,2025-03-19,2025,1074,14,East,Customer 00074,7738,3702,4036,2130,107178
75,2021-04-20,2021,1075,15,West,Customer 00075,7775,3725,4050,2125,107275
76,2022-05-21,2022,1076,16,North,Customer 00076,7812,3748,4064,2120,107372
77,2023-06-22,2023,1077,17,South,Customer 00077,7849,3771,4078,2115,107469
78,2024-07-23,2024,1078,18,East,Customer 00078,7886,3794,4092,2110,107566
79,2025-08-24,2025,1079,19,West,Customer 00079,7923,3817,4106,2105,107663
80,2021-09-25,2021,1080,20,North,Customer 00080,7960,3840,4120,2100,107760
81,2022-10-26,2022,1081,21,South,Customer 00081,7997,3863,4134,2095,107857
82,2023-11-27,2023,1082,22,East,Customer 00082,8034,3886,4148,2090,107954
83,2024-12-28,2024,1083,23,West,Customer 00083,8071,3909,4162,2085,108051
84,2025-01-01,2025,1084,24,North,Customer 00084,8108,3932,4176,2080,108148
85,2021-02-02,2021,1085,25,South,Customer 00085,8145,3955,4190,2075,108245
86,2022-03-03,2022,1086,26,East,Customer 00086,8182,3978,4204,2070,108342
87,2023-04-04,2023,1087,27,West,Customer 00087,8219,4001,4218,2065,108439
88,2024-05-05,2024,1088,28,North,Customer 00088,8256,4024,4232,2060,108536
89,2025-06-06,2025,1089,29,South,Customer 00089,8293,4047,4246,2055,108633
90,2021-07-07,2021,1090,30,East,Customer 00090,8330,4070,4260,2050,108730
91,2022-08-08,2022,1091,31,West,Customer 00091,8367,4093,4274,2045,108827
92,2023-09-09,2023,1092,32,North,Customer 00092,8404,4116,4288,2040,108924
93,2024-10-10,2024,1093,33,South,Customer 00093,8441,4139,4302,2035,109021
94,2025-11-11,2025,1094,34,East,Customer 00094,8478,4162,4316,2030,109118
95,2021-12-12,2021,1095,35,West,Customer 00095,8515,4185,4330,2025,109215
96,2022-01-13,2022,1096,36,North,Customer 00096,8552,4208,4344,2020,109312
97,2023-02-14,2023,1097,37,South,Customer 00097,8589,4231,4358,2015,109409
98,2024-03-15,2024,1098,38,East,Customer 00098,8626,4254,4372,2010,109506
99,2025-04-16,2025,1099,39,West,Customer 00099,8663,4277,4386,2005,109603
100,2021-05-17,2021,1100,40,North,Customer 00100,8700,4300,4400,2000,109700
101,2022-06-18,2022,1101,41,South,Customer 00101,8737,4323,4414,1995,109797
102,2023-07-19,2023,1102,42,East,Customer 00102,8774,4346,4428,1990,109894
103,2024-08-20,2024,1103,43,West,Customer 00103,8811,4369,4442,1985,109991
104,2025-09-21,2025,1104,44,North,Customer 00104,8848,4392,4456,1980,110088
105,2021-10-22,2021,1105,10,South,Customer 00105,8885,4415,4470,1975,110185
106,2022-11-23,2022,1106,11,East,Customer 00106,8922,4438,4484,1970,110282
107,2023-12-24,2023,1107,12,West,Customer 00107,8959,4461,4498,1965,110379
108,2024-01-25,2024,1108,13,North,Customer 00108,8996,4484,4512,1960,110476
109,2025-02-26,2025,1109,14,South,Customer 00109,9033,4507,4526,1955,110573
110,2021-03-27,2021,1110,15,East,Customer 00110,9070,4530,4540,1950,110670
111,2022-04-28,2022,1111,16,West,Customer 00111,9107,4553,4554,1945,110767
112,2023-05-01,2023,1112,17,North,Customer 00112,9144,4576,4568,1940,110864
113,2024-06-02,2024,1113,18,South,Customer 00113,9181,4599,4582,1935,110961
114,2025-07-03,2025,1114,19,East,Customer 00114,9218,4622,4596,1930,111058
115,2021-08-04,2021,1115,20,West,Customer 00115,9255,4645,4610,1925,111155
116,2022-09-05,2022,1116,21,North,Customer 00116,9292,4668,4624,1920,111252
117,2023-10-06,2023,1117,22,South,Customer 00117,9329,4691,4638,1915,111349
118,2024-11-07,2024,1118,23,East,Customer 00118,9366,4714,4652,1910,111446
119,2025-12-08,2025,1119,24,West,Customer 00119,9403,4737,4666,1905,111543
120,2021-01-09,2021,1120,25,North,Customer 00120,9440,4760,4680,1900,111640
121,2022-02-10,2022,1121,26,South,Customer 00121,9477,4783,4694,1895,111737
122,2023-03-11,2023,1122,27,East,Customer 00122,9514,4806,4708,1890,111834
123,2024-04-12,2024,1123,28,West,Customer 00123,9551,4829,4722,1885,111931
124,2025-05-13,2025,1124,29,North,Customer 00124,9588,4852,4736,1880,112028
125,2021-06-14,2021,1125,30,South,Customer 00125,9625,4875,4750,1875,112125
126,2022-07-15,2022,1126,31,East,Customer 00126,9662,4898,4764,1870,112222
127,2023-08-16,2023,1127,32,West,Customer 00127,9699,4921,4778,1865,112319
128,2024-09-17,2024,1128,33,North,Customer 00128,9736,4944,4792,1860,112416
129,2025-10-18,2025,1129,34,South,Customer 00129,9773,4967,4806,1855,112513
130,2021-11-19,2021,1130,35,East,Customer 00130,9810,4990,4820,1850,112610
131,2022-12-20,2022,1131,36,West,Customer 00131,9847,5013,4834,1845,112707
132,2023-01-21,2023,1132,37,North,Customer 00132,9884,5036,4848,1840,112804
133,2024-02-22,2024,1133,38,South,Customer 00133,9921,5059,4862,1835,112901
134,2025-03-23,2025,1134,39,East,Customer 00134,9958,5082,4876,1830,112998
135,2021-04-24,2021,1135,40,West,Customer 00135,9995,5105,4890,1825,113095
136,2022-05-25,2022,1136,41,North,Customer 00136,10032,5128,4904,1820,113192
137,2023-06-26,2023,1137,42,South,Customer 00137,10069,5151,4918,1815,113289
138,2024-07-27,2024,1138,43,East,Customer 00138,10106,5174,4932,1810,113386
139,2025-08-28,2025,1139,44,West,Customer 00139,10143,5197,4946,1805,113483
140,2021-09-01,2021,1140,10,North,Customer 00140,10180,5220,4960,1800,113580
141,2022-10-02,2022,1141,11,South,Customer 00141,10217,5243,4974,1795,113677
142,2023-11-03,2023,1142,12,East,Customer 00142,10254,5266,4988,1790,113774
143,2024-12-04,2024,1143,13,West,Customer 00143,10291,5289,5002,1785,113871
144,2025-01-05,2025,1144,14,North,Customer 00144,10328,5312,5016,1780,113968
145,2021-02-06,2021,1145,15,South,Customer 00145,10365,5335,5030,1775,114065
146,2022-03-07,2022,1146,16,East,Customer 00146,10402,5358,5044,1770,114162
147,2023-04-08,2023,1147,17,West,Customer 00147,10439,5381,5058,1765,114259
148,2024-05-09,2024,1148,18,North,Customer 00148,10476,5404,5072,1760,114356
149,2025-06-10,2025,1149,19,South,Customer 00149,10513,5427,5086,1755,114453
150,2021-07-11,2021,1150,20,East,Customer 00150,10550,5450,5100,1750,114550
151,2022-08-12,2022,1151,21,West,Customer 00151,10587,5473,5114,1745,114647
152,2023-09-13,2023,1152,22,North,Customer 00152,10624,5496,5128,1740,114744
153,2024-10-14,2024,1153,23,South,Customer 00153,10661,5519,5142,1735,114841
154,2025-11-15,2025,1154,24,East,Customer 00154,10698,5542,5156,1730,114938
155,2021-12-16,2021,1155,25,West,Customer 00155,10735,5565,5170,1725,115035
156,2022-01-17,2022,1156,26,North,Customer 00156,10772,5588,5184,1720,115132
157,2023-02-18,2023,1157,27,South,Customer 00157,10809,5611,5198,1715,115229
158,2024-03-19,2024,1158,28,East,Customer 00158,10846,5634,5212,1710,115326
159,2025-04-20,2025,1159,29,West,Customer 00159,10883,5657,5226,1705,115423
160,2021-05-21,2021,1160,30,North,Customer 00160,10920,5680,5240,1700,115520
161,2022-06-22,2022,1161,31,South,Customer 00161,10957,5703,5254,1695,115617
162,2023-07-23,2023,1162,32,East,Customer 00162,10994,5726,5268,1690,115714
163,2024-08-24,2024,1163,33,West,Customer 00163,11031,5749,5282,1685,115811
164,2025-09-25,2025,1164,34,North,Customer 00164,11068,5772,5296,1680,115908
165,2021-10-26,2021,1165,35,South,Customer 00165,11105,5795,5310,1675,116005
166,2022-11-27,2022,1166,36,East,Customer 00166,11142,5818,5324,1670,116102
167,2023-12-28,2023,1167,37,West,Customer 00167,11179,5841,5338,1665,116199
168,2024-01-01,2024,1168,38,North,Customer 00168,11216,5864,5352,1660,116296
169,2025-02-02,2025,1169,39,South,Customer 00169,11253,5887,5366,1655,116393
170,2021-03-03,2021,1170,40,East,Customer 00170,11290,5910,5380,1650,116490
171,2022-04-04,2022,1171,41,West,Customer 00171,11327,5933,5394,1645,116587
172,2023-05-05,2023,1172,42,North,Customer 00172,11364,5956,5408,1640,116684
173,2024-06-06,2024,1173,43,South,Customer 00173,11401,5979,5422,1635,116781
174,2025-07-07,2025,1174,44,East,Customer 00174,11438,6002,5436,1630,116878
175,2021-08-08,2021,1175,10,West,Customer 00175,11475,6025,5450,1625,116975
176,2022-09-09,2022,1176,11,North,Customer 00176,11512,6048,5464,1620,117072
177,2023-10-10,2023,1177,12,South,Customer 00177,11549,6071,5478,1615,117169
178,2024-11-11,2024,1178,13,East,Customer 00178,11586,6094,5492,1610,117266
179,2025-12-12,2025,1179,14,West,Customer 00179,11623,6117,5506,1605,117363
180,2021-01-13,2021,1180,15,North,Customer 00180,11660,6140,5520,1600,117460
181,2022-02-14,2022,1181,16,South,Customer 00181,11697,6163,5534,1595,117557
182,2023-03-15,2023,1182,17,East,Customer 00182,11734,6186,5548,1590,117654
183,2024-04-16,2024,1183,18,West,Customer 00183,11771,6209,5562,1585,117751
184,2025-05-17,2025,1184,19,North,Customer 00184,11808,6232,5576,1580,117848
185,2021-06-18,2021,1185,20,South,Customer 00185,11845,6255,5590,1575,117945
186,2022-07-19,2022,1186,21,East,Customer 00186,11882,6278,5604,1570,118042
187,2023-08-20,2023,1187,22,West,Customer 00187,11919,6301,5618,1565,118139
188,2024-09-21,2024,1188,23,North,Customer 00188,11956,6324,5632,1560,118236
189,2025-10-22,2025,1189,24,South,Customer 00189,11993,6347,5646,1555,118333
190,2021-11-23,2021,1190,25,East,Customer 00190,12030,6370,5660,1550,118430
191,2022-12-24,2022,1191,26,West,Customer 00191,12067,6393,5674,1545,118527
192,2023-01-25,2023,1192,27,North,Customer 00192,12104,6416,5688,1540,118624
193,2024-02-26,2024,1193,28,South,Customer 00193,12141,6439,5702,1535,118721
194,2025-03-27,2025,1194,29,East,Customer 00194,12178,6462,5716,1530,118818
195,2021-04-28,2021,1195,30,West,Customer 00195,12215,6485,5730,1525,118915
196,2022-05-01,2022,1196,31,North,Customer 00196,12252,6508,5744,1520,119012
197,2023-06-02,2023,1197,32,South,Customer 00197,12289,6531,5758,1515,119109
198,2024-07-03,2024,1198,33,East,Customer 00198,12326,6554,5772,1510,119206
199,2025-08-04,2025,1199,34,West,Customer 00199,12363,6577,5786,1505,119303
200,2021-09-05,2021,1200,35,North,Customer 00200,12400,6600,5800,1500,119400
201,2022-10-06,2022,1201,36,South,Customer 00201,12437,6623,5814,1495,119497
202,2023-11-07,2023,1202,37,East,Customer 00202,12474,6646,5828,1490,119594
203,2024-12-08,2024,1203,38,West,Customer 00203,12511,6669,5842,1485,119691
204,2025-01-09,2025,1204,39,North,Customer 00204,12548,6692,5856,1480,119788
205,2021-02-10,2021,1205,40,South,Customer 00205,12585,6715,5870,1475,119885
206,2022-03-11,2022,1206,41,East,Customer 00206,12622,6738,5884,1470,119982
207,2023-04-12,2023,1207,42,West,Customer 00207,12659,6761,5898,1465,120079
208,2024-05-13,2024,1208,43,North,Customer 00208,12696,6784,5912,1460,120176
209,2025-06-14,2025,1209,44,South,Customer 00209,12733,6807,5926,1455,120273
210,2021-07-15,2021,1210,10,East,Customer 00210,12770,6830,5940,1450,120370
211,2022-08-16,2022,1211,11,West,Customer 00211,12807,6853,5954,1445,120467
212,2023-09-17,2023,1212,12,North,Customer 00212,12844,6876,5968,1440,120564
213,2024-10-18,2024,1213,13,South,Customer 00213,12881,6899,5982,1435,120661
214,2025-11-19,2025,1214,14,East,Customer 00214,12918,6922,5996,1430,120758
215,2021-12-20,2021,1215,15,West,Customer 00215,12955,6945,6010,1425,120855
216,2022-01-21,2022,1216,16,North,Customer 00216,12992,6968,6024,1420,120952
217,2023-02-22,2023,1217,17,South,Customer 00217,13029,6991,6038,1415,121049
218,2024-03-23,2024,1218,18,East,Customer 00218,13066,7014,6052,1410,121146
219,2025-04-24,2025,1219,19,West,Customer 00219,13103,7037,6066,1405,121243
220,2021-05-25,2021,1220,20,North,Customer 00220,13140,7060,6080,1400,121340
221,2022-06-26,2022,1221,21,South,Customer 00221,13177,7083,6094,1395,121437
222,2023-07-27,2023,1222,22,East,Customer 00222,13214,7106,6108,1390,121534
223,2024-08-28,2024,1223,23,West,Customer 00223,13251,7129,6122,1385,121631
224,2025-09-01,2025,1224,24,North,Customer 00224,13288,7152,6136,1380,121728
225,2021-10-02,2021,1225,25,South,Customer 00225,13325,7175,6150,1375,121825
226,2022-11-03,2022,1226,26,East,Customer 00226,13362,7198,6164,1370,121922
227,2023-12-04,2023,1227,27,West,Customer 00227,13399,7221,6178,1365,122019
228,2024-01-05,2024,1228,28,North,Customer 00228,13436,7244,6192,1360,122116
229,2025-02-06,2025,1229,29,South,Customer 00229,13473,7267,6206,1355,122213
230,2021-03-07,2021,1230,30,East,Customer 00230,13510,7290,6220,1350,122310
231,2022-04-08,2022,1231,31,West,Customer 00231,13547,7313,6234,1345,122407
232,2023-05-09,2023,1232,32,North,Customer 00232,13584,7336,6248,1340,122504
233,2024-06-10,2024,1233,33,South,Customer 00233,13621,7359,6262,1335,122601
234,2025-07-11,2025,1234,34,East,Customer 00234,13658,7382,6276,1330,122698
235,2021-08-12,2021,1235,35,West,Customer 00235,13695,7405,6290,1325,122795
236,2022-09-13,2022,1236,36,North,Customer 00236,13732,7428,6304,1320,122892
237,2023-10-14,2023,1237,37,South,Customer 00237,13769,7451,6318,1315,122989
238,2024-11-15,2024,1238,38,East,Customer 00238,13806,7474,6332,1310,123086
239,2025-12-16,2025,1239,39,West,Customer 00239,13843,7497,6346,1305,123183
240,2021-01-17,2021,1240,40,North,Customer 00240,13880,7520,6360,1300,123280
241,2022-02-18,2022,1241,41,South,Customer 00241,13917,7543,6374,1295,123377
242,2023-03-19,2023,1242,42,East,Customer 00242,13954,7566,6388,1290,123474
243,2024-04-20,2024,1243,43,West,Customer 00243,13991,7589,6402,1285,123571
244,2025-05-21,2025,1244,44,North,Customer 00244,14028,7612,6416,1280,123668
245,2021-06-22,2021,1245,10,South,Customer 00245,14065,7635,6430,1275,123765
246,2022-07-23,2022,1246,11,East,Customer 00246,14102,7658,6444,1270,123862
247,2023-08-24,2023,1247,12,West,Customer 00247,14139,7681,6458,1265,123959
248,2024-09-25,2024,1248,13,North,Customer 00248,14176,7704,6472,1260,124056
249,2025-10-26,2025,1249,14,South,Customer 00249,14213,7727,6486,1255,124153
250,2021-11-27,2021,1000,15,East,Customer 00250,14250,7750,6500,1250,124250
251,2022-12-28,2022,1001,16,West,Customer 00251,14287,7773,6514,1245,124347
252,2023-01-01,2023,1002,17,North,Customer 00252,14324,7796,6528,1240,124444
253,2024-02-02,2024,1003,18,South,Customer 00253,14361,7819,6542,1235,124541
254,2025-03-03,2025,1004,19,East,Customer 00254,14398,7842,6556,1230,124638
255,2021-04-04,2021,1005,20,West,Customer 00255,14435,7865,6570,1225,124735
256,2022-05-05,2022,1006,21,North,Customer 00256,14472,7888,6584,1220,124832
257,2023-06-06,2023,1007,22,South,Customer 00257,14509,7911,6598,1215,124929
258,2024-07-07,2024,1008,23,East,Customer 00258,14546,7934,6612,1210,125026
259,2025-08-08,2025,1009,24,West,Customer 00259,14583,7957,6626,1205,125123
260,2021-09-09,2021,1010,25,North,Customer 00260,14620,7980,6640,1200,125220
261,2022-10-10,2022,1011,26,South,Customer 00261,14657,8003,6654,1195,125317
262,2023-11-11,2023,1012,27,East,Customer 00262,14694,8026,6668,1190,125414
263,2024-12-12,2024,1013,28,West,Customer 00263,14731,8049,6682,1185,125511
264,2025-01-13,2025,1014,29,North,Customer 00264,14768,8072,6696,1180,125608
265,2021-02-14,2021,1015,30,South,Customer 00265,14805,8095,6710,1175,125705
266,2022-03-15,2022,1016,31,East,Customer 00266,14842,8118,6724,1170,125802
267,2023-04-16,2023,1017,32,West,Customer 00267,14879,8141,6738,1165,125899
268,2024-05-17,2024,1018,33,North,Customer 00268,14916,8164,6752,1160,125996
269,2025-06-18,2025,1019,34,South,Customer 00269,14953,8187,6766,1155,126093
270,2021-07-19,2021,1020,35,East,Customer 00270,14990,8210,6780,1150,126190
271,2022-08-20,2022,1021,36,West,Customer 00271,15027,8233,6794,1145,126287
272,2023-09-21,2023,1022,37,North,Customer 00272,15064,8256,6808,1140,126384
273,2024-10-22,2024,1023,38,South,Customer 00273,15101,8279,6822,1135,126481
274,2025-11-23,2025,1024,39,East,Customer 00274,15138,8302,6836,1130,126578
275,2021-12-24,2021,1025,40,West,Customer 00275,15175,8325,6850,1125,126675
276,2022-01-25,2022,1026,41,North,Customer 00276,15212,8348,6864,1120,126772
277,2023-02-26,2023,1027,42,South,Customer 00277,15249,8371,6878,1115,126869
278,2024-03-27,2024,1028,43,East,Customer 00278,15286,8394,6892,1110,126966
279,2025-04-28,2025,1029,44,West,Customer 00279,15323,8417,6906,1105,127063
280,2021-05-01,2021,1030,10,North,Customer 00280,15360,8440,6920,1100,127160
281,2022-06-02,2022,1031,11,South,Customer 00281,15397,8463,6934,1095,127257
282,2023-07-03,2023,1032,12,East,Customer 00282,15434,8486,6948,1090,127354
283,2024-08-04,2024,1033,13,West,Customer 00283,15471,8509,6962,1085,127451
284,2025-09-05,2025,1034,14,North,Customer 00284,15508,8532,6976,1080,127548
285,2021-10-06,2021,1035,15,South,Customer 00285,15545,8555,6990,1075,127645
286,2022-11-07,2022,1036,16,East,Customer 00286,15582,8578,7004,1070,127742
287,2023-12-08,2023,1037,17,West,Customer 00287,15619,8601,7018,1065,127839
288,2024-01-09,2024,1038,18,North,Customer 00288,15656,8624,7032,1060,127936
289,2025-02-10,2025,1039,19,South,Customer 00289,15693,8647,7046,1055,128033
290,2021-03-11,2021,1040,20,East,Customer 00290,15730,8670,7060,1050,128130
291,2022-04-12,2022,1041,21,West,Customer 00291,15767,8693,7074,1045,128227
292,2023-05-13,2023,1042,22,North,Customer 00292,15804,8716,7088,1040,128324
293,2024-06-14,2024,1043,23,South,Customer 00293,15841,8739,7102,1035,128421
294,2025-07-15,2025,1044,24,East,Customer 00294,15878,8762,7116,1030,128518
295,2021-08-16,2021,1045,25,West,Customer 00295,15915,8785,7130,1025,128615
296,2022-09-17,2022,1046,26,North,Customer 00296,15952,8808,7144,1020,128712
297,2023-10-18,2023,1047,27,South,Customer 00297,15989,8831,7158,1015,128809
298,2024-11-19,2024,1048,28,East,Customer 00298,16026,8854,7172,1010,128906
299,2025-12-20,2025,1049,29,West,Customer 00299,16063,8877,7186,1005,129003
300,2021-01-21,2021,1050,30,North,Customer 00300,16100,8900,7200,1000,129100
301,2022-02-22,2022,1051,31,South,Customer 00301,16137,8923,7214,995,129197
302,2023-03-23,2023,1052,32,East,Customer 00302,16174,8946,7228,990,129294
303,2024-04-24,2024,1053,33,West,Customer 00303,16211,8969,7242,985,129391
304,2025-05-25,2025,1054,34,North,Customer 00304,16248,8992,7256,980,129488
305,2021-06-26,2021,1055,35,South,Customer 00305,16285,9015,7270,975,129585
306,2022-07-27,2022,1056,36,East,Customer 00306,16322,9038,7284,970,129682
307,2023-08-28,2023,1057,37,West,Customer 00307,16359,9061,7298,965,129779
308,2024-09-01,2024,1058,38,North,Customer 00308,16396,9084,7312,960,129876
309,2025-10-02,2025,1059,39,South,Customer 00309,16433,9107,7326,955,129973
310,2021-11-03,2021,1060,40,East,Customer 00310,16470,9130,7340,950,130070
311,2022-12-04,2022,1061,41,West,Customer 00311,16507,9153,7354,945,130167
312,2023-01-05,2023,1062,42,North,Customer 00312,16544,9176,7368,940,130264
313,2024-02-06,2024,1063,43,South,Customer 00313,16581,9199,7382,935,130361
314,2025-03-07,2025,1064,44,East,Customer 00314,16618,9222,7396,930,130458
315,2021-04-08,2021,1065,10,West,Customer 00315,16655,9245,7410,925,130555
316,2022-05-09,2022,1066,11,North,Customer 00316,16692,9268,7424,920,130652
317,2023-06-10,2023,1067,12,South,Customer 00317,16729,9291,7438,915,130749
318,2024-07-11,2024,1068,13,East,Customer 00318,16766,9314,7452,910,130846
319,2025-08-12,2025,1069,14,West,Customer 00319,16803,9337,7466,905,130943
320,2021-09-13,2021,1070,15,North,Customer 00320,16840,9360,7480,900,131040
321,2022-10-14,2022,1071,16,South,Customer 00321,16877,9383,7494,895,131137
322,2023-11-15,2023,1072,17,East,Customer 00322,16914,9406,7508,890,131234
323,2024-12-16,2024,1073,18,West,Customer 00323,16951,9429,7522,885,131331
324,2025-01-17,2025,1074,19,North,Customer 00324,16988,9452,7536,880,131428
325,2021-02-18,2021,1075,20,South,Customer 00325,17025,9475,7550,875,131525
326,2022-03-19,2022,1076,21,East,Customer 00326,17062,9498,7564,870,131622
327,2023-04-20,2023,1077,22,West,Customer 00327,17099,9521,7578,865,131719
328,2024-05-21,2024,1078,23,North,Customer 00328,17136,9544,7592,860,131816
329,2025-06-22,2025,1079,24,South,Customer 00329,17173,9567,7606,855,131913
330,2021-07-23,2021,1080,25,East,Customer 00330,17210,9590,7620,850,132010
331,2022-08-24,2022,1081,26,West,Customer 00331,17247,9613,7634,845,132107
332,2023-09-25,2023,1082,27,North,Customer 00332,17284,9636,7648,840,132204
333,2024-10-26,2024,1083,28,South,Customer 00333,17321,9659,7662,835,132301
334,2025-11-27,2025,1084,29,East,Customer 00334,17358,9682,7676,830,132398
335,2021-12-28,2021,1085,30,West,Customer 00335,17395,9705,7690,825,132495
336,2022-01-01,2022,1086,31,North,Customer 00336,17432,9728,7704,820,132592
337,2023-02-02,2023,1087,32,South,Customer 00337,17469,9751,7718,815,132689
338,2024-03-03,2024,1088,33,East,Customer 00338,17506,9774,7732,810,132786
339,2025-04-04,2025,1089,34,West,Customer 00339,17543,9797,7746,805,132883
