Date,Segment,Region,Product,Customer,Channel,Units Sold,Unit Price,Discount Amount,Net Sales,COGS,Gross Profit,Operating Expense,Marketing Spend,Total Expense,Net Income,Order ID
2021-01-27,Enterprise,APAC,Integration Pack,Atlas BV,Direct,307,396.38,14602.64,107086.02,68535.05,38550.97,16062.9,6425.16,22488.06,16062.91,ORD-2021-000015
2021-01-13,Mid-Market,Middle East,Starter Plan,Orion Inc,Online,550,256.14,2817.54,138059.46,85596.87,52462.59,17947.73,6902.97,24850.7,27611.89,ORD-2021-000016
2021-01-13,Enterprise,North America,Integration Pack,Sakura Ltd,Online,418,273.93,10305.25,104197.49,64602.44,39595.05,8335.8,6251.85,14587.65,25007.4,ORD-2021-000017
2021-01-28,SMB,Middle East,Analytics Suite,Nova Retail,Partner,387,111.1,2149.79,40845.91,20422.96,20422.95,4901.51,2042.3,6943.81,13479.14,ORD-2021-000018
2021-01-06,SMB,Middle East,Data Sync,Atlas BV,Online,497,157.45,2347.58,75905.07,44024.94,31880.13,6831.46,3795.25,10626.71,21253.42,ORD-2021-000019
2021-01-24,Mid-Market,Europe,Integration Pack,Acme Corp,Online,384,253.05,9717.12,87454.08,55096.07,32358.01,13118.11,1749.08,14867.19,17490.82,ORD-2021-000020
2021-02-25,SMB,Latin America,Analytics Suite,Nova Retail,In-Store,566,151.01,3418.87,82052.79,41846.92,40205.87,9025.81,4102.64,13128.45,27077.42,ORD-2021-000021
2021-02-06,Enterprise,Europe,Data Sync,Sakura Ltd,Partner,88,271.03,3339.09,20511.55,11486.47,9025.08,1640.92,1435.81,3076.73,5948.35,ORD-2021-000022
2021-02-24,SMB,North America,Analytics Suite,Orion Inc,Partner,145,159.3,1154.93,21943.57,11849.53,10094.04,1755.49,1097.18,2852.67,7241.37,ORD-2021-000023
2021-02-13,SMB,North America,Forecast Pro,Nova Retail,Partner,553,131.9,5835.26,67105.44,41605.37,25500.07,6039.49,4697.38,10736.87,14763.2,ORD-2021-000024
2021-02-24,Mid-Market,North America,Integration Pack,Sakura Ltd,Partner,284,180.91,2055.14,49323.3,31073.68,18249.62,4932.33,2466.17,7398.5,10851.12,ORD-2021-000025
2021-02-03,Enterprise,Latin America,Starter Plan,Beta GmbH,Partner,223,515.42,3448.16,111490.5,66894.3,44596.2,17838.48,7804.34,25642.82,18953.38,ORD-2021-000026
2021-02-22,SMB,Europe,Forecast Pro,Sakura Ltd,In-Store,581,105.93,5539.08,56006.25,35283.94,20722.31,7840.88,1680.19,9521.07,11201.24,ORD-2021-000027
2021-02-08,Enterprise,Europe,Starter Plan,Maple LLC,Direct,527,400.6,14778.13,196338.07,123692.98,72645.09,23560.57,11780.28,35340.85,37304.24,ORD-2021-000028
2021-02-25,Mid-Market,Europe,Integration Pack,Sakura Ltd,Online,240,244.76,4111.97,54630.43,34963.48,19666.95,8740.87,1092.61,9833.48,9833.47,ORD-2021-000029
2021-02-09,Enterprise,Latin America,Integration Pack,Helios AG,Partner,141,393.75,6107.06,49411.69,30141.13,19270.56,7411.75,2964.7,10376.45,8894.11,ORD-2021-000030
2021-02-20,Enterprise,Europe,Analytics Suite,Atlas BV,Partner,109,305.59,2331.65,30977.66,15798.61,15179.05,4027.1,1548.88,5575.98,9603.07,ORD-2021-000031
2021-02-10,SMB,North America,Starter Plan,Nova Retail,Online,446,153.79,2743.61,65846.73,39508.04,26338.69,7243.14,1316.93,8560.07,17778.62,ORD-2021-000032
2021-02-12,Enterprise,Europe,Analytics Suite,Zenith Co,Partner,347,330.11,5727.41,108820.76,55498.59,53322.17,8705.66,2176.42,10882.08,42440.09,ORD-2021-000033
2021-02-19,Mid-Market,APAC,Forecast Pro,Orion Inc,Partner,363,227.37,4126.77,78408.54,50181.47,28227.07,8624.94,2352.26,10977.2,17249.87,ORD-2021-000034
2021-02-26,Mid-Market,APAC,Starter Plan,Beta GmbH,Direct,228,199.18,1362.39,44050.65,27311.4,16739.25,5726.58,1762.03,7488.61,9250.64,ORD-2021-000035
2021-02-19,Enterprise,North America,Forecast Pro,Orion Inc,In-Store,426,273.49,3495.2,113011.54,67806.92,45204.62,13561.38,6780.69,20342.07,24862.55,ORD-2021-000036
2021-02-19,Mid-Market,Europe,Integration Pack,Orion Inc,Online,439,213.26,2808.63,90812.51,54487.51,36325,8173.13,1816.25,9989.38,26335.62,ORD-2021-000037
2021-02-13,Mid-Market,Middle East,Data Sync,Andes Group,Online,202,184.96,2241.72,35120.2,21072.12,14048.08,2809.62,1053.61,3863.23,10184.85,ORD-2021-000038
2021-02-13,Mid-Market,Latin America,Analytics Suite,Sakura Ltd,In-Store,412,292.6,8438.58,112112.62,57177.44,54935.18,14574.64,7847.88,22422.52,32512.66,ORD-2021-000039
2021-02-19,SMB,North America,Starter Plan,Nova Retail,Partner,401,94.21,1511.13,36267.08,21760.25,14506.83,4352.05,1450.68,5802.73,8704.1,ORD-2021-000040
2021-03-15,Enterprise,Latin America,Forecast Pro,Orion Inc,Direct,78,412.58,1930.87,30250.37,18150.22,12100.15,2420.03,1512.52,3932.55,8167.6,ORD-2021-000041
2021-03-05,Mid-Market,Middle East,Data Sync,Atlas BV,Partner,301,262.5,8691.38,70321.12,40083.04,30238.08,8438.53,1406.42,9844.95,20393.13,ORD-2021-000042
2021-03-02,Enterprise,Middle East,Forecast Pro,Andes Group,Online,148,272.04,1207.86,39054.06,24213.52,14840.54,4295.95,1171.62,5467.57,9372.97,ORD-2021-000043
2021-03-25,SMB,Europe,Data Sync,Andes Group,Direct,91,122.41,111.39,11027.92,6506.47,4521.45,1654.19,551.4,2205.59,2315.86,ORD-2021-000044
2021-03-09,SMB,APAC,Data Sync,Maple LLC,Partner,457,100.75,4143.85,41898.9,24720.35,17178.55,5446.86,2094.95,7541.81,9636.74,ORD-2021-000045
2021-03-08,SMB,Europe,Forecast Pro,Andes Group,Partner,295,96.47,2845.87,25612.78,15879.92,9732.86,2817.41,1792.89,4610.3,5122.56,ORD-2021-000046
2021-03-27,SMB,Europe,Data Sync,Sakura Ltd,In-Store,595,125.43,3731.54,70899.31,41830.59,29068.72,9925.9,3544.97,13470.87,15597.85,ORD-2021-000047
2021-03-20,Mid-Market,North America,Starter Plan,Nova Retail,Partner,240,183.05,4393.2,39538.8,23723.28,15815.52,4744.66,790.78,5535.44,10280.08,ORD-2021-000048
2021-03-24,SMB,APAC,Data Sync,Maple LLC,Online,149,113.4,337.93,16558.67,9935.2,6623.47,1655.87,496.76,2152.63,4470.84,ORD-2021-000049
2021-03-08,Enterprise,North America,Forecast Pro,Maple LLC,Online,332,440.83,11708.44,134647.12,86174.16,48472.96,12118.24,9425.3,21543.54,26929.42,ORD-2021-000050
2021-03-20,Mid-Market,Latin America,Analytics Suite,Sakura Ltd,Online,589,294.68,3471.33,170095.19,91851.4,78243.79,17009.52,10205.71,27215.23,51028.56,ORD-2021-000051
2021-03-28,Enterprise,North America,Integration Pack,Helios AG,Online,223,318.31,9937.64,61045.49,37848.2,23197.29,7935.91,1831.36,9767.27,13430.02,ORD-2021-000052
2021-03-17,Enterprise,North America,Analytics Suite,Atlas BV,Direct,242,482.55,4671.08,112106.02,56053.01,56053.01,10089.54,2242.12,12331.66,43721.35,ORD-2021-000053
2021-03-06,SMB,Europe,Analytics Suite,Helios AG,Direct,596,107.18,7026.72,56852.56,28426.28,28426.28,6822.31,1705.58,8527.89,19898.39,ORD-2021-000054
2021-03-28,Enterprise,Europe,Integration Pack,Atlas BV,Online,281,424.14,8342.83,110840.51,69829.52,41010.99,8867.24,5542.03,14409.27,26601.72,ORD-2021-000055
2021-03-22,Mid-Market,Latin America,Analytics Suite,Maple LLC,Partner,196,256.48,1005.4,49264.68,26602.93,22661.75,5419.11,985.29,6404.4,16257.35,ORD-2021-000056
2021-03-25,Enterprise,Middle East,Analytics Suite,Zenith Co,Partner,325,316.33,3084.22,99723.03,49861.52,49861.51,14958.45,3988.92,18947.37,30914.14,ORD-2021-000057
2021-03-24,Enterprise,APAC,Data Sync,Andes Group,Direct,152,496.23,3017.08,72409.88,41273.63,31136.25,9413.28,1448.2,10861.48,20274.77,ORD-2021-000058
2021-03-23,Mid-Market,Europe,Starter Plan,Nova Retail,Partner,342,262.24,8071.75,81614.33,48968.6,32645.73,13058.29,4080.72,17139.01,15506.72,ORD-2021-000059
2021-03-25,Mid-Market,APAC,Analytics Suite,Beta GmbH,Partner,448,223.57,11017.53,89141.83,47245.17,41896.66,8914.18,3565.67,12479.85,29416.81,ORD-2021-000060
2021-04-25,Enterprise,North America,Forecast Pro,Atlas BV,In-Store,587,439.05,10308.89,247413.46,150922.21,96491.25,32163.75,4948.27,37112.02,59379.23,ORD-2021-000061
2021-04-24,SMB,APAC,Data Sync,Acme Corp,Partner,482,100.07,1447.01,46786.73,28072.04,18714.69,5146.54,2339.34,7485.88,11228.81,ORD-2021-000062
2021-04-10,Enterprise,APAC,Starter Plan,Acme Corp,Direct,195,385.27,5258.94,69868.71,43318.6,26550.11,11178.99,2794.75,13973.74,12576.37,ORD-2021-000063
2021-04-10,Enterprise,Latin America,Analytics Suite,Helios AG,Partner,495,322.4,4787.64,154800.36,77400.18,77400.18,20124.05,3096.01,23220.06,54180.12,ORD-2021-000064
2021-04-06,Mid-Market,North America,Analytics Suite,Beta GmbH,Direct,199,293.94,4679.52,53814.54,27445.42,26369.12,8072.18,3228.87,11301.05,15068.07,ORD-2021-000065
2021-04-11,Mid-Market,Latin America,Forecast Pro,Helios AG,In-Store,383,180.77,5538.79,63696.12,40128.56,23567.56,5095.69,3821.77,8917.46,14650.1,ORD-2021-000066
2021-04-28,Mid-Market,Europe,Forecast Pro,Atlas BV,Partner,330,176.41,4075.07,54140.23,34649.75,19490.48,7579.63,2165.61,9745.24,9745.24,ORD-2021-000067
2021-04-04,Mid-Market,North America,Forecast Pro,Acme Corp,Online,112,257.39,1153.11,27674.57,16604.74,11069.83,4151.19,1106.98,5258.17,5811.66,ORD-2021-000068
2021-04-18,Mid-Market,Middle East,Data Sync,Maple LLC,Direct,167,256.11,2566.22,40204.15,22514.32,17689.83,5628.58,2814.29,8442.87,9246.96,ORD-2021-000069
2021-04-13,Mid-Market,Middle East,Analytics Suite,Acme Corp,Partner,540,264.74,5718.38,137241.22,74110.26,63130.96,13724.12,4117.24,17841.36,45289.6,ORD-2021-000070
2021-04-11,Mid-Market,Middle East,Data Sync,Sakura Ltd,Partner,237,173.4,1232.87,39862.93,23120.5,16742.43,4783.55,1594.52,6378.07,10364.36,ORD-2021-000071
2021-04-28,Mid-Market,North America,Integration Pack,Helios AG,Online,152,307.03,3733.48,42935.08,27049.1,15885.98,6440.26,1717.4,8157.66,7728.32,ORD-2021-000072
2021-04-02,Mid-Market,Latin America,Integration Pack,Zenith Co,Direct,419,170.58,6432.57,65040.45,40975.48,24064.97,9756.07,1951.21,11707.28,12357.69,ORD-2021-000073
2021-04-06,SMB,APAC,Data Sync,Helios AG,Partner,370,112.54,832.8,40807,24484.2,16322.8,6529.12,1224.21,7753.33,8569.47,ORD-2021-000074
2021-04-02,Mid-Market,Europe,Starter Plan,Atlas BV,Online,487,221.04,1076.46,106570.02,66073.41,40496.61,12788.4,7459.9,20248.3,20248.31,ORD-2021-000075
2021-04-19,Enterprise,Latin America,Forecast Pro,Atlas BV,Direct,109,288.21,2199.04,29215.85,17529.51,11686.34,4674.54,1752.95,6427.49,5258.85,ORD-2021-000076
2021-04-19,Enterprise,Latin America,Integration Pack,Beta GmbH,Direct,165,279.48,1383.43,44730.77,27733.08,16997.69,4920.38,894.62,5815,11182.69,ORD-2021-000077
2021-04-19,SMB,Middle East,Data Sync,Sakura Ltd,In-Store,479,116.69,2794.73,53099.78,29735.88,23363.9,4778.98,3716.98,8495.96,14867.94,ORD-2021-000078
2021-04-20,SMB,Middle East,Integration Pack,Beta GmbH,Direct,414,154.55,639.84,63343.86,39906.63,23437.23,8234.7,3167.19,11401.89,12035.34,ORD-2021-000079
2021-04-10,SMB,Latin America,Analytics Suite,Sakura Ltd,Partner,503,128.59,4527.65,60153.12,30678.09,29475.03,6015.31,1203.06,7218.37,22256.66,ORD-2021-000080
2021-05-12,SMB,APAC,Analytics Suite,Orion Inc,In-Store,125,127.61,1754.64,14196.61,7240.27,6956.34,1561.63,709.83,2271.46,4684.88,ORD-2021-000081
2021-05-28,Mid-Market,APAC,Forecast Pro,Orion Inc,Direct,213,218.86,5127.89,41489.29,24893.57,16595.72,5393.61,2904.25,8297.86,8297.86,ORD-2021-000082
2021-05-08,Mid-Market,Latin America,Forecast Pro,Acme Corp,In-Store,111,187.5,1665,19147.5,12062.93,7084.57,1914.75,957.38,2872.13,4212.44,ORD-2021-000083
2021-05-02,Enterprise,APAC,Starter Plan,Helios AG,In-Store,591,369.29,26190.05,192060.34,117156.81,74903.53,28809.05,9603.02,38412.07,36491.46,ORD-2021-000084
2021-05-28,Mid-Market,APAC,Analytics Suite,Acme Corp,Online,576,170.22,3921.87,94124.85,48003.67,46121.18,7529.99,4706.24,12236.23,33884.95,ORD-2021-000085
2021-05-06,SMB,Middle East,Forecast Pro,Orion Inc,Online,45,137.57,61.91,6128.74,3677.24,2451.5,551.59,367.72,919.31,1532.19,ORD-2021-000086
2021-05-22,Mid-Market,Europe,Starter Plan,Maple LLC,Online,46,257.52,1066.13,10779.79,6467.87,4311.92,1509.17,754.59,2263.76,2048.16,ORD-2021-000087
2021-05-05,SMB,North America,Analytics Suite,Helios AG,In-Store,513,126.29,2591.47,62195.3,32963.51,29231.79,8707.34,1243.91,9951.25,19280.54,ORD-2021-000088
2021-05-26,Enterprise,APAC,Data Sync,Maple LLC,Direct,437,405.52,19493.35,157718.89,94631.33,63087.56,18926.27,7885.94,26812.21,36275.35,ORD-2021-000089
2021-05-22,SMB,Latin America,Data Sync,Helios AG,Direct,178,150.66,1609.05,25208.43,14116.72,11091.71,2520.84,756.25,3277.09,7814.62,ORD-2021-000090
2021-05-09,Enterprise,Latin America,Starter Plan,Atlas BV,Direct,273,312.02,8518.15,76663.31,46764.62,29898.69,7666.33,3066.53,10732.86,19165.83,ORD-2021-000091
2021-05-18,SMB,APAC,Analytics Suite,Atlas BV,Direct,272,150.38,818.07,40085.29,21245.2,18840.09,5611.94,2405.12,8017.06,10823.03,ORD-2021-000092
2021-05-09,SMB,Middle East,Forecast Pro,Atlas BV,Online,496,123.91,3072.97,58386.39,35615.7,22770.69,8174.09,4087.05,12261.14,10509.55,ORD-2021-000093
2021-05-21,Enterprise,Middle East,Data Sync,Nova Retail,Online,555,492.28,16392.92,256822.48,146388.81,110433.67,20545.8,7704.67,28250.47,82183.2,ORD-2021-000094
2021-05-01,SMB,Middle East,Analytics Suite,Maple LLC,Direct,221,155.74,3441.85,30976.69,16417.65,14559.04,4336.74,619.53,4956.27,9602.77,ORD-2021-000095
2021-05-01,SMB,Latin America,Data Sync,Acme Corp,Direct,511,135.07,4831.45,64189.32,37229.81,26959.51,7702.72,3209.47,10912.19,16047.32,ORD-2021-000096
2021-05-05,Enterprise,Middle East,Integration Pack,Atlas BV,Partner,154,472.23,5817.87,66905.55,42150.5,24755.05,10704.89,2676.22,13381.11,11373.94,ORD-2021-000097
2021-05-19,Mid-Market,Middle East,Analytics Suite,Sakura Ltd,In-Store,123,272.89,2349.58,31215.89,15920.1,15295.79,2809.43,936.48,3745.91,11549.88,ORD-2021-000098
2021-05-14,Enterprise,Latin America,Starter Plan,Atlas BV,Online,372,289.27,11836.93,95771.51,58420.62,37350.89,10534.87,3830.86,14365.73,22985.16,ORD-2021-000099
2021-05-21,Mid-Market,Europe,Analytics Suite,Nova Retail,Partner,409,232.68,3806.64,91359.48,49334.12,42025.36,7308.76,4567.97,11876.73,30148.63,ORD-2021-000100
2021-06-25,Enterprise,Europe,Analytics Suite,Zenith Co,Direct,58,317.21,1103.89,17294.29,9338.92,7955.37,2075.31,691.77,2767.08,5188.29,ORD-2021-000101
2021-06-05,Enterprise,Europe,Analytics Suite,Helios AG,Online,147,464.7,6147.98,62162.92,32946.35,29216.57,4973.03,2486.52,7459.55,21757.02,ORD-2021-000102
2021-06-01,Enterprise,Europe,Data Sync,Nova Retail,Partner,56,503.05,2535.37,25635.43,14355.84,11279.59,2819.9,1025.42,3845.32,7434.27,ORD-2021-000103
2021-06-16,Mid-Market,Europe,Starter Plan,Sakura Ltd,Direct,478,208.46,7971.51,91672.37,57753.59,33918.78,8250.51,5500.34,13750.85,20167.93,ORD-2021-000104
2021-06-09,SMB,Europe,Forecast Pro,Atlas BV,Partner,145,151.83,2201.54,19813.81,12284.56,7529.25,1783.24,990.69,2773.93,4755.32,ORD-2021-000105
2021-06-27,SMB,Europe,Forecast Pro,Atlas BV,Direct,577,130.31,1503.78,73685.09,46421.61,27263.48,11789.61,2947.4,14737.01,12526.47,ORD-2021-000106
2021-06-18,Enterprise,Latin America,Integration Pack,Zenith Co,Online,47,490.72,1153.19,21910.65,13365.5,8545.15,2848.38,876.43,3724.81,4820.34,ORD-2021-000107
2021-06-01,Mid-Market,Latin America,Integration Pack,Acme Corp,Direct,186,256.58,2863.43,44860.45,27364.87,17495.58,6729.07,1794.42,8523.49,8972.09,ORD-2021-000108
2021-06-19,Enterprise,North America,Analytics Suite,Atlas BV,In-Store,301,417.32,12561.33,113051.99,59917.55,53134.44,12435.72,4522.08,16957.8,36176.64,ORD-2021-000109
2021-06-26,SMB,Latin America,Integration Pack,Orion Inc,Online,414,130.95,5421.33,48791.97,30738.94,18053.03,6342.96,3415.44,9758.4,8294.63,ORD-2021-000110
2021-06-23,Enterprise,Middle East,Analytics Suite,Andes Group,Partner,438,313.04,19195.61,117915.91,61316.27,56599.64,18866.55,3537.48,22404.03,34195.61,ORD-2021-000111
2021-06-10,Mid-Market,Middle East,Data Sync,Acme Corp,In-Store,581,198.58,5768.75,109606.23,61379.49,48226.74,17537,7672.44,25209.44,23017.3,ORD-2021-000112
2021-06-15,Mid-Market,Latin America,Forecast Pro,Atlas BV,Direct,568,220.08,13750.6,111254.84,71203.1,40051.74,16688.23,6675.29,23363.52,16688.22,ORD-2021-000113
2021-06-02,Enterprise,Middle East,Integration Pack,Andes Group,Partner,152,497.21,6801.83,68774.09,41264.45,27509.64,9628.37,4814.19,14442.56,13067.08,ORD-2021-000114
2021-06-15,SMB,Europe,Analytics Suite,Helios AG,Partner,278,151.64,1686.24,40469.68,21853.63,18616.05,4046.97,2428.18,6475.15,12140.9,ORD-2021-000115
2021-06-17,Mid-Market,Latin America,Integration Pack,Sakura Ltd,Direct,372,193.16,4311.33,67544.19,41877.4,25666.79,6754.42,2026.33,8780.75,16886.04,ORD-2021-000116
2021-06-10,Enterprise,Latin America,Integration Pack,Andes Group,Online,273,393.45,15037.66,92374.19,55424.51,36949.68,12932.39,3694.97,16627.36,20322.32,ORD-2021-000117
2021-06-25,SMB,Middle East,Forecast Pro,Helios AG,Partner,62,101.99,569.1,5754.28,3510.11,2244.17,690.51,345.26,1035.77,1208.4,ORD-2021-000118
2021-06-21,Mid-Market,Europe,Analytics Suite,Sakura Ltd,Direct,83,202.36,1343.67,15452.21,7880.63,7571.58,1854.27,1081.65,2935.92,4635.66,ORD-2021-000119
2021-06-10,Enterprise,Middle East,Data Sync,Nova Retail,Direct,214,438.42,10320.41,83501.47,49265.87,34235.6,10020.18,1670.03,11690.21,22545.39,ORD-2021-000120
2021-07-26,Enterprise,Middle East,Integration Pack,Sakura Ltd,Partner,388,387.76,19558.61,130892.27,81153.21,49739.06,15707.07,3926.77,19633.84,30105.22,ORD-2021-000121
2021-07-10,SMB,North America,Analytics Suite,Maple LLC,Direct,322,101.69,1309.77,31434.41,16974.58,14459.83,2829.1,1257.38,4086.48,10373.35,ORD-2021-000122
2021-07-21,SMB,Europe,Analytics Suite,Helios AG,Partner,72,118.93,513.78,8049.18,4346.56,3702.62,965.9,482.95,1448.85,2253.77,ORD-2021-000123
2021-07-25,SMB,North America,Data Sync,Andes Group,Online,593,136.24,5655.32,75135,44329.65,30805.35,9767.55,3756.75,13524.3,17281.05,ORD-2021-000124
2021-07-21,Mid-Market,Middle East,Analytics Suite,Atlas BV,Partner,446,190.09,2543.4,82236.74,41118.37,41118.37,11513.14,1644.73,13157.87,27960.5,ORD-2021-000125
2021-07-21,SMB,Europe,Integration Pack,Helios AG,In-Store,494,147.28,5092.94,67663.38,42627.93,25035.45,10826.14,4736.44,15562.58,9472.87,ORD-2021-000126
2021-07-27,SMB,Europe,Starter Plan,Sakura Ltd,Online,492,107.56,4762.76,48156.76,28894.06,19262.7,5778.81,1926.27,7705.08,11557.62,ORD-2021-000127
2021-07-09,SMB,Europe,Data Sync,Atlas BV,Partner,388,98.93,4222.33,34162.51,20155.88,14006.63,4099.5,2049.75,6149.25,7857.38,ORD-2021-000128
2021-07-10,Mid-Market,Middle East,Forecast Pro,Atlas BV,Partner,475,170.92,4059.35,77127.65,48590.42,28537.23,9255.32,5398.94,14654.26,13882.97,ORD-2021-000129
2021-07-16,Mid-Market,Middle East,Starter Plan,Zenith Co,Direct,201,240.58,2417.83,45938.75,28022.64,17916.11,3675.1,1837.55,5512.65,12403.46,ORD-2021-000130
2021-07-07,SMB,Europe,Integration Pack,Atlas BV,Online,470,131.87,6817.68,55161.22,34199.96,20961.26,6619.35,2758.06,9377.41,11583.85,ORD-2021-000131
2021-07-27,Enterprise,North America,Starter Plan,Orion Inc,Direct,557,442.89,27135.87,219553.86,140514.47,79039.39,21955.39,4391.08,26346.47,52692.92,ORD-2021-000132
2021-07-15,Enterprise,Latin America,Integration Pack,Acme Corp,Online,75,335.46,1257.98,23901.52,14340.91,9560.61,2151.14,1673.11,3824.25,5736.36,ORD-2021-000133
2021-07-24,Mid-Market,APAC,Integration Pack,Beta GmbH,Partner,325,251.93,1637.55,80239.7,48143.82,32095.88,8826.37,4011.99,12838.36,19257.52,ORD-2021-000134
2021-07-17,SMB,Latin America,Analytics Suite,Helios AG,Partner,222,114.03,506.29,24808.37,13396.52,11411.85,3721.26,992.33,4713.59,6698.26,ORD-2021-000135
2021-07-18,Enterprise,Europe,Data Sync,Acme Corp,In-Store,52,484.24,3525.27,21655.21,12560.02,9095.19,1732.42,1515.86,3248.28,5846.91,ORD-2021-000136
2021-07-22,Enterprise,North America,Analytics Suite,Helios AG,Partner,382,493.78,9431.2,179192.76,94972.16,84220.6,25086.99,5375.78,30462.77,53757.83,ORD-2021-000137
2021-07-20,Enterprise,Latin America,Integration Pack,Maple LLC,Online,150,500.95,6011.4,69131.1,42861.28,26269.82,6913.11,3456.56,10369.67,15900.15,ORD-2021-000138
2021-07-20,Enterprise,North America,Data Sync,Helios AG,Partner,309,442.4,10936.13,125765.47,74201.63,51563.84,11318.89,7545.93,18864.82,32699.02,ORD-2021-000139
2021-07-02,SMB,Middle East,Forecast Pro,Nova Retail,Online,237,106.85,759.7,24563.75,15229.53,9334.22,2456.38,491.28,2947.66,6386.56,ORD-2021-000140
2021-08-10,Mid-Market,Latin America,Integration Pack,Zenith Co,In-Store,397,175.02,5558.64,63924.3,40272.31,23651.99,5753.19,1278.49,7031.68,16620.31,ORD-2021-000141
2021-08-27,SMB,Latin America,Starter Plan,Nova Retail,Online,368,128.78,2843.46,44547.58,27619.5,16928.08,4009.28,2227.38,6236.66,10691.42,ORD-2021-000142
2021-08-14,SMB,Middle East,Analytics Suite,Acme Corp,Direct,563,151.15,3403.9,81693.55,41663.71,40029.84,13070.97,2450.81,15521.78,24508.06,ORD-2021-000143
2021-08-18,Mid-Market,APAC,Integration Pack,Atlas BV,Direct,400,291.05,3492.6,112927.4,70014.99,42912.41,9034.19,2258.55,11292.74,31619.67,ORD-2021-000144
2021-08-15,Enterprise,APAC,Starter Plan,Sakura Ltd,In-Store,534,462.61,27173.71,219860.03,140710.42,79149.61,19787.4,13191.6,32979,46170.61,ORD-2021-000145
2021-08-05,Enterprise,Latin America,Forecast Pro,Beta GmbH,Direct,113,357.55,1616.13,38787.02,23272.21,15514.81,3102.96,2327.22,5430.18,10084.63,ORD-2021-000146
2021-08-15,SMB,Latin America,Starter Plan,Beta GmbH,Online,304,110.29,335.28,33192.88,19915.73,13277.15,4978.93,1991.57,6970.5,6306.65,ORD-2021-000147
2021-08-17,Enterprise,Middle East,Forecast Pro,Beta GmbH,Online,259,500.95,10379.68,119366.37,72813.49,46552.88,14323.96,5968.32,20292.28,26260.6,ORD-2021-000148
2021-08-17,Mid-Market,Europe,Starter Plan,Helios AG,Direct,127,237.4,1507.49,28642.31,17185.39,11456.92,4009.92,1432.12,5442.04,6014.88,ORD-2021-000149
2021-08-03,Enterprise,Middle East,Analytics Suite,Orion Inc,In-Store,442,297.42,6572.98,124886.66,64941.06,59945.6,18733,8742.07,27475.07,32470.53,ORD-2021-000150
2021-08-27,Enterprise,APAC,Analytics Suite,Zenith Co,Online,194,299.15,8124.91,49910.19,25454.2,24455.99,6488.32,2994.61,9482.93,14973.06,ORD-2021-000151
2021-08-13,SMB,Latin America,Starter Plan,Atlas BV,Direct,294,149.13,1753.77,42090.45,26516.98,15573.47,6313.57,1262.71,7576.28,7997.19,ORD-2021-000152
